Proprietary  Name,Active Ingredient/Moiety,Applicant,NDA/BLA, Application Number(1), Application Number(2), Application Number(3),Dosage Form(1),Route of Administration(1),Dosage Form(2),Route of Administration(2),Dosage Form(3),Route of Administration(3),FDA Receipt Date,FDA Approval Date,Approval Year,Abbreviated Indication(s),Approved Use(s),Review Designation,Orphan Drug Designation,Accelerated Approval,Breakthrough Therapy Designation,Fast Track Designation,Qualified Infectious Disease Product,Issued a Priority Review Voucher,Redeemed a Priority Review Voucher,Notes
Hismanal,astemizole,Janssen,NDA,19402,,,Tablet,Oral,,,,,2/25/1985,12/29/1988,1988,relief of symptoms associated with seasonal allergic rhinitis and chronic idiopathic urticaria,,Standard,No,N/A,N/A,N/A,N/A,N/A,N/A,
Oxistat,oxiconazole nitrate,Glaxo,NDA,19828,,,Cream,Topical,,,,,2/11/1988,12/30/1988,1988,"treatment of tinea pedis, tinea cruris and tinea corporis due to Trichophyton rubrum, Trichophyton mentagrophytes, or Epidermophyton floccosum",,Standard,No,N/A,N/A,N/A,N/A,N/A,N/A,
Optiray,ioversol,Mallinckrodt,NDA,19710,,,Injectable,Injection,,,,,6/26/1987,12/30/1988,1988,"Optiray-320 for angiography throughout the cardiovascular system including cerebral, coronary, peripheral, visceral and renal arteriography, aortography, and left ventriculography; contrast enhanced CT imaging of the head and body, and I.V. excretory urography. Optiray-240  indicated  for cerebral angiography and venography. Optiray-160 intra-arterial digital subtraction angiography",,Standard,No,N/A,N/A,N/A,N/A,N/A,N/A,
Ifex,ifosfamide,Bristol-Myers,NDA,19763,,,Injectable,Injection,,,,,12/10/1987,12/30/1988,1988,"used in combination with certain other approved antineoplastic agents is indicated for third-line chemotherapy of germ cell testicular cancer. It should ordinarily be used in combination with a prophylactic agent for hemorrhagic cystitis, such as mesna",,Priority,Yes,N/A,N/A,N/A,N/A,N/A,N/A,
Ceretec,technetium Tc-99m exametazime,Amersham,NDA,19829,,,Injectable,Injection,,,,,3/15/1988,12/30/1988,1988,use as an adjunct in the detection of altered regional cerebral perfusion in strokes,,Priority,No,N/A,N/A,N/A,N/A,N/A,N/A,
Mesnex,mesna,Asta,NDA,19884,,,Injectable,Intravenous,,,,,7/6/1988,12/30/1988,1988,prophylactic agent for reducing the incidence of ifosamide-induced hemorrhagic cystitis,,Priority,Yes,N/A,N/A,N/A,N/A,N/A,N/A,
Ceradon,cefotiam hydrochloride,Takeda,NDA,50601,,,Injectable,Injection,,,,,4/30/1985,12/30/1988,1988,"treatment of infections caused by susceptible strains of the designated microorganisms: lower respiratory tract infections, bronchitis, and pneumonia",,Standard,No,N/A,N/A,N/A,N/A,N/A,N/A,
Permax,pergolide mesylate,Eli Lilly,NDA,19385,,,Tablet,Oral,,,,,9/13/1985,12/30/1988,1988,as adjunctive treatment to levodopa in the management of the signs and symptoms of Parkinson’s disease,,Priority,No,N/A,N/A,N/A,N/A,N/A,N/A,
Eulexin,flutamide,Schering,NDA,18554,,,Capsule,Oral,,,,,9/30/1980,1/27/1989,1989,in combination with LHRH agonistic analogs (such as leuprolide acetate) for the treatment of metastatic prostatic carcinoma,,Priority,No,N/A,N/A,N/A,N/A,N/A,N/A,
Cefpiramide,cefpiramide sodium,Wyeth-Ayerst,NDA,50633,,,Injectable,Injection,,,,,7/31/1987,1/31/1989,1989,"indicated for the treatment of the following infections when caused by susceptible strains of designated organisms:  lower respiratory infections including pneumonia, skin and skin structure infections",,Standard,No,N/A,N/A,N/A,N/A,N/A,N/A,
Paraplatin,carboplatin,Bristol-Myers,NDA,19880,,,Injectable,Injection,,,,,6/30/1988,3/3/1989,1989,"palliative treatment of patients with ovarian carcinoma recurrent after prior chemotherapy, including patients who have previously been treated with cisplatin",,Priority,No,N/A,N/A,N/A,N/A,N/A,N/A,
Suprax,cefixime,Lederle,NDA,50621,50622,,Tablet,Oral,Suspension,Oral,,,6/27/1986,4/28/1989,1989,"indicated in the treatment of the following infections when caused by susceptible strains of the designated microorganisms: Uncomplicated Urinary Tract Infections, Otitis Media, Pharyngitis and tonsillitis, Acute Bronchitis and Acute Exacerbations of Chronic Bronchitis",,Standard,No,N/A,N/A,N/A,N/A,N/A,N/A,
Lariam,mefloquine hydrochloride,Department of the Army,NDA,19578,,,Tablet,Oral,,,,,2/5/1986,5/2/1989,1989,"treatment of mild to moderate acute malaria caused by mefloquine-susceptible strains of P. falciparum (both chloroquine-susceptible and resistant strains) or by Plasmodium vivax; also indicated for the prophylaxis of P. falciparum and P. vivax malaria infections, including prophylaxis of chloroquine-resistant strains of P. falciparum.",,Priority,Yes,N/A,N/A,N/A,N/A,N/A,N/A,
Epogen,epoetin alfa,Amgen,BLA,103234,,,Injectable,Injection,,,,,11/3/1987,6/1/1989,1989,"treatment of anemia associated with chronic renal failure, including patients on dialysis (end-stage renal disease) and patients not on dialysis",,Standard,Yes,N/A,N/A,N/A,N/A,N/A,N/A,
Eldepryl,selegiline hydrochloride,Somerset,NDA,19334,,,Tablet,Oral,,,,,7/23/1984,6/5/1989,1989,indicated as an adjunct in the management of Parkinsonian patients being treated with levodopa/carbidopa who exhibit deterioration in the quality of their response to this therapy,,Priority,Yes,N/A,N/A,N/A,N/A,N/A,N/A,
Cytovene,ganciclovir sodium,Syntex,NDA,19661,,,Injectable,Injection,,,,,12/29/1986,6/23/1989,1989,"treatment of CMV retinitis in immunocompromised 
patients, including patients with acquired immunodeficiency syndrome (AIDS)",,Priority,Yes,N/A,N/A,N/A,N/A,N/A,N/A,
Losec,omeprazole,Merck Sharp & Dohme,NDA,19810,,,"Capsule, Delayed Release Pellets",Oral,,,,,7/1/1988,9/14/1989,1989,"short-term treatment (four to eight weeks) of severe erosive esophagitis; short-term treatment of symptomatic gastroesophageal reflux disease (GERD) poorly responsive to customary medical treatment, usually including an adequate course of a histamine H2 receptor antagonist;  long-term treatment of Zollinger-Ellison syndrome",,Priority,No,N/A,N/A,N/A,N/A,N/A,N/A,
Clozaril,clozapine,Sandoz,NDA,19758,,,Tablet,Oral,,,,,9/1/1987,9/26/1989,1989,treatment of severely ill schizophrenic patients who fail to respond to standard drug therapies,,Priority,No,N/A,N/A,N/A,N/A,N/A,N/A,
Diprivan,propofol,ICI,NDA,19627,,,Injectable,Injection,,,,,8/1/1986,10/2/1989,1989,induction and maintenance of anesthesia,,Standard,No,N/A,N/A,N/A,N/A,N/A,N/A,
Alferon N,interferon alfa-n3,Interferon Sciences,BLA,103158,,,Injectable,Injection,,,,,12/16/1985,10/10/1989,1989,treatment of condyloma acuminata (genital warts),,Standard,No,N/A,N/A,N/A,N/A,N/A,N/A,
Adenocard,adenosine,Medco,NDA,19937,,,Injectable,Injection,,,,,12/28/1988,10/30/1989,1989,"indicated for conversion to sinus rhythm of paroxysmal supraventricular tachycardia (PSVT), including that associated with accessory bypass tracts (Wolff-Parkinson-White Syndrome)",,Priority,No,N/A,N/A,N/A,N/A,N/A,N/A,
Eminase,anistreplase,Beecham,BLA,103273,,,Injectable,Injection,,,,,6/8/1988,11/27/1989,1989,"indicated for use in the management of acute myocardial infarction (AMI) in adults, for the lysis of thrombi obstructing coronary arteries, the reduction of infarct size, the improvement of ventricular function following AMI, and the reduction of mortality associated with AMI",,Standard,No,N/A,N/A,N/A,N/A,N/A,N/A,Biologic product assigned new license number and now referenced by BLA 103674
Rythmol,propafenone hydrochloride,Knoll,NDA,19151,,,Tablet,Oral,,,,,10/26/1983,11/27/1989,1989,"treatment of documented ventricular arrhythmias, such as sustained ventricular tachycardia, that in the judgment of the physician, are life-threatening",,Standard,No,N/A,N/A,N/A,N/A,N/A,N/A,
Toradol,ketorolac tromethamine,Syntex,NDA,19698,,,Injectable,Injection,,,,,6/22/1987,11/30/1989,1989,indicated for the short-term management of pain,,Priority,No,N/A,N/A,N/A,N/A,N/A,N/A,
Osmovist,iotrolan,Berlex,NDA,19580,,,Injectable,Intrathecal,,,,,2/10/1986,12/7/1989,1989,"indicated for lumbar, thoracic, cervical, and total columnar myelography, and computerized tomography (CT) of spinal and subarachnoid spaces, in adults",,Standard,No,N/A,N/A,N/A,N/A,N/A,N/A,
Oculinum,botulinum toxin type A,Allergan,BLA,103000,,,Injectable,Injection,,,,,3/28/1985,12/9/1989,1989,"for the treatment of strabismus  in patients 12 years of age and above;
blepharospasm associated with dystonia, including benign essential blepharospasm or [seventh] nerve disorders in patients 12 years of age and above",,Standard,Yes,N/A,N/A,N/A,N/A,N/A,N/A,
Zefazone,cefmetazole sodium,Upjohn,NDA,50637,,,Injectable,Injection,,,,,12/31/1987,12/11/1989,1989,"treatment of serious infections caused by susceptible strains of the designated microorganisms in the following diseases: Urinary Tract Infections; Lower Respiratory Tract Infections; Skin and Skin Structure Infections; Intraabdominal Infections; reduce the incidence of certain postoperative infections in patients who undergo caesarean section, abdominal or vaginal hysterectomy, cholecystectomy (high risk patients), and colorectal surgery",,Standard,No,N/A,N/A,N/A,N/A,N/A,N/A,
Pindac,pinacidil,Eli Lilly,NDA,19456,,,"Capsule, Extended Release",Oral,,,,,7/31/1985,12/28/1989,1989,treatment of hypertension,,Standard,No,N/A,N/A,N/A,N/A,N/A,N/A,
Anafranil,clomipramine hydrochloride,Ciba-Geigy,NDA,19906,,,Capsule,Oral,,,,,6/16/1989,12/29/1989,1989,"treatment of obsessions and compulsions in patients with Obsessive Compulsive Disorder (OCD). The obsessions or compulsions must cause marked distress, be time-consuming, or significantly interfere with social or occupational functioning, in order to meet the DSM III-R (circa 1989) diagnosis of OCD",,Priority,No,N/A,N/A,N/A,N/A,N/A,N/A,
Zoladex,goserelin acetate,ICI,NDA,19726,,,Implant,Implantation,,,,,8/14/1987,12/29/1989,1989,palliative treatment of advanced carcinoma of the prostate,,Standard,No,N/A,N/A,N/A,N/A,N/A,N/A,
Dalgan,dezocine,Wyeth-Ayerst,NDA,19082,,,Injectable,Injection,,,,,7/29/1983,12/29/1989,1989,indicated for the management of pain when the use of an opioid analgesic is appropriate,,Standard,No,N/A,N/A,N/A,N/A,N/A,N/A,
Cardiogen-82,rubidium Rb 82 chloride,Bristol-Myers Squibb,NDA,19414,,,Injectable,Injection,,,,,12/28/1984,12/29/1989,1989,indicated for assessing regional myocardial perfusion in the diagnosis and localization of myocardial infarction,,Standard,No,N/A,N/A,N/A,N/A,N/A,N/A,
Betamet,metipranolol hydrochloride,Bausch & Lomb,NDA,19907,,,Solution/Drops,Ophthalmic,,,,,10/21/1988,12/29/1989,1989,has been shown to be effective in lowering intraocular pressure and may be used in patients with chronic open-angle glaucoma or intraocular hypertension,,Standard,No,N/A,N/A,N/A,N/A,N/A,N/A,
Ortho Cyclen,"norgestimate, ethinyl estradiol",RW Johnson,NDA,19653,,,Tablet,Oral,,,,,3/24/1987,12/29/1989,1989,prevention of pregnancy in women who elect to use oral contraceptives as a method of contraception,,Standard,No,N/A,N/A,N/A,N/A,N/A,N/A,
Decabid,indecainide hydrochloride,Eli Lilly,NDA,19693,,,"Tablet, Extended Release",Oral,,,,,1/5/1988,12/29/1989,1989,"treatment of documented ventricular arrhythmias, such as sustained ventricular tachycardia, that in the judgment of the physician, are life-threatening",,Standard,No,N/A,N/A,N/A,N/A,N/A,N/A,
Diflucan,fluconazole,Pfizer,NDA,19949,19950,,Tablet,Oral,Injectable,Injection,,,3/2/1989,1/29/1990,1990,"treatment of oropharyngeal and esophageal candidiasis; serious systemic candidal infections, including urinary tract infection, peritonitis, and pneumonia; also indicated for treatment of cryptococcal meningitis",,Priority,No,N/A,N/A,N/A,N/A,N/A,N/A,
Synarel,nafarelin acetate,Syntex,NDA,19886,,,"Spray, Metered",Nasal,,,,,11/16/1988,2/13/1990,1990,"management of endometriosis, including pain relief and reduction of endometriotic lesions",,Standard,No,N/A,N/A,N/A,N/A,N/A,N/A,
Adagen,pegademase bovine,Enzon,BLA,19818,,,Injectable,Injection,,,,,1/13/1988,3/21/1990,1990,indicated for enzyme replacement therapy for adenosine deaminase (ADA) deficiency  in  patients  with  severe  combined  immunodeficiency  disease  (SCID)  who  are  not  suitable  candidates  for  –  or  who  have  failed  –  bone  marrow  transplantation,,Priority,Yes,N/A,N/A,N/A,N/A,N/A,N/A,Transition Product from NDA to BLA due to BPCI : Please see page 2 of data dictionary for more information.
TechneScan MAG3,technetium Tc-99m mertiatide,Mallinckrodt,NDA,19882,,,Injectable,Injection,,,,,10/18/1988,6/15/1990,1990,"indicated as a renal imaging agent for use in the diagnosis of congenital and acquired abnormalities, renal failure, urinary tract obstruction, and calculi",,Standard,No,N/A,N/A,N/A,N/A,N/A,N/A,
Ergamisol,levamisole hydrochloride,Janssen,NDA,20035,,,Tablet,Oral,,,,,11/1/1989,6/18/1990,1990,indicated as adjuvant treatment in combination with 5-fluorouracil after surgical resection in patients with Dukes' stage C colon cancer,,Priority,No,N/A,N/A,N/A,N/A,N/A,N/A,
Ethmozine,moricizine hydrochloride,DuPont,NDA,19753,,,Tablet,Oral,,,,,9/1/1987,6/19/1990,1990,"indicated for the treatment of documented ventricular arrhythmias, such as sustained ventricular tachycardia, that in the judgment of the physician are life-threatening",,Priority,No,N/A,N/A,N/A,N/A,N/A,N/A,
Arduan,pipecuronium bromide,Organon,NDA,19638,,,Injectable,Injection,,,,,12/29/1987,6/26/1990,1990,"indicated as an adjunct to general anesthesia, to provide skeletal muscle relaxation during surgery; can also be used to provide skeletal muscle relaxation for endotracheal intubation",,Standard,No,N/A,N/A,N/A,N/A,N/A,N/A,
Dipentum,olsalazine sodium,Pharmacia,NDA,19715,,,Capsule,Oral,,,,,9/1/1987,7/31/1990,1990,indicated for the maintenance of remission of ulcerative colitis in patients who are intolerant of sulfasalazine,,Priority,No,N/A,N/A,N/A,N/A,N/A,N/A,
Exosurf,"colfosceril palmitate, cetyl alcohol, tyloxapol",Burroughs Wellcome,NDA,20044,,,For Suspension,Intratracheal,,,,,2/16/1990,8/2/1990,1990,"indicated for prophylactic treatment of infants with birth weight less than 1350 grams who are at risk of developing RDS, prophylactic treatment of infants with birth weight greater than 1350 grams who have evidence of pulmonary immaturity, and rescue treatment of infants who have developed RDS",,Priority,Yes,N/A,N/A,N/A,N/A,N/A,N/A,
Idamycin,idarubicin hydrochloride,Adria,NDA,50661,,,Injectable,Injection,,,,,8/31/1989,9/27/1990,1990,in combination with other approved antileukemic drugs for the treatment of acute myeloid leukemia (AML) in adults,,Priority,Yes,N/A,N/A,N/A,N/A,N/A,N/A,
Cardura,doxazosin mesylate,Pfizer,NDA,19668,,,Tablet,Oral,,,,,3/11/1987,11/2/1990,1990,treatment of hypertension,,Standard,No,N/A,N/A,N/A,N/A,N/A,N/A,
Ornidyl,eflornithine hydrochloride,Marion Merrell Dow,NDA,19879,,,Injectable,Injection,,,,,8/2/1988,11/28/1990,1990,treatment of meningoencephalitic stage of Trypanosoma brucei gambiense infection (sleeping sickness),,Priority,Yes,N/A,N/A,N/A,N/A,N/A,N/A,
Cutivate,fluticasone propionate,Glaxo,NDA,19957,,,Ointment,Topical,,,,,10/26/1989,12/14/1990,1990,indicated for the relief of the inflammatory and pruritic manifestations of corticosteroid-responsive dermatoses,,Standard,No,N/A,N/A,N/A,N/A,N/A,N/A,
Ultravate,halobetasol propionate,Bristol-Myers Squibb,NDA,19968,,,Ointment,Topical,,,,,4/3/1989,12/17/1990,1990,indicated for the relief of the inflammatory and pruritic manifestations of corticosteroid-responsive dermatoses,,Standard,No,N/A,N/A,N/A,N/A,N/A,N/A,
Cardiotec,technetium Tc-99m teboroxime,Squibb,NDA,19928,,,Injectable,Injection,,,,,12/23/1988,12/19/1990,1990,"indicated as a myocardial perfusion agent that is useful in distinguishing normal from abnormal myocardium in patients with suspected coronary artery disease, using rest and stress techniques",,Priority,No,N/A,N/A,N/A,N/A,N/A,N/A,
Dynacirc,isradipine,Sandoz,NDA,19546,,,Capsule,Oral,,,,,4/25/1986,12/20/1990,1990,indicated for the management of hypertension,,Standard,No,N/A,N/A,N/A,N/A,N/A,N/A,
Actimmune,interferon gamma-1b,Genentech,BLA,103348,,,Injectable,Injection,,,,,12/22/1989,12/20/1990,1990,treatment of chronic granulomatous disease,,Priority,Yes,N/A,N/A,N/A,N/A,N/A,N/A,Biologic product assigned new license number and now referenced by BLA 103836
Cardiolite,technetium Tc-99m sestamibi,DuPont,NDA,19785,,,Injectable,Injection,,,,,12/12/1988,12/21/1990,1990,"indicated as a myocardial perfusion agent that is useful in distinguishing normal from abnormal myocardium, and in the localization of the abnormality, in patients with suspected myocardial infarction",,Standard,No,N/A,N/A,N/A,N/A,N/A,N/A,
Hexalen,altretamine,US Bioscience,NDA,19926,,,Capsule,Oral,,,,,12/19/1988,12/26/1990,1990,palliative treatment of patients with persistent or recurrent ovarian cancer following first-line therapy with cisplatin and/or alkylating agent based combination,,Priority,Yes,N/A,N/A,N/A,N/A,N/A,N/A,
ProSom,estazolam,Abbott Laboratories,NDA,19080,,,Tablet,Oral,,,,,12/19/1983,12/26/1990,1990,short term treatment of insomnia,,Standard,No,N/A,N/A,N/A,N/A,N/A,N/A,
Geref,sermorelin acetate,Serono,NDA,19863,,,Injectable,Injection,,,,,5/5/1988,12/28/1990,1990,for evaluating the ability of the somatotroph of the pituitary gland to secrete growth hormone (GH),,Standard,No,N/A,N/A,N/A,N/A,N/A,N/A,
Vascor,bepridil hydrochloride,McNeil Laboratories,NDA,19002,,,Tablet,Oral,,,,,12/28/1983,12/28/1990,1990,treatment of chronic stable angina (classic effort-associated angina) in patients failing to respond adequately to other therapy,,Priority,No,N/A,N/A,N/A,N/A,N/A,N/A,
Floxin,ofloxacin,RW Johnson,NDA,19735,,,Tablet,Oral,,,,,12/22/1987,12/28/1990,1990,"treatment for the following infections caused by susceptible strains of designated microorganisms; lower respiratory tract infections (acute bacterial exacerbations of chronic bronchitis and pneumonia); sexually transmitted diseases (acute, uncomplicated urethral and cervical gonorrhea, nongonococcal urethritis and cervicitis, and mixed infections of the urethra and cervix); skin and skin structure infections (mild to moderate skin and skin structure infections); urinary tract infections (uncomplicated cystitis, and complicated urinary tract infections); and prostatitis",,Standard,No,N/A,N/A,N/A,N/A,N/A,N/A,
